Killing processes on ports 7110, 7111, and 7112...
clearing store & authors
Cleanup completed
INDEXER | THROUGHPUT | node: c65b0 | startTime: 4310.067127 | endTime: 4940.252835 | elapsedTime: 630.185708 | urlCount: 23
INDEXER | LATENCY | node: c65b0 | startTime: 4310.067127 | endTime: 4940.252835 | elapsedTime: 630.185708 | urlCount: 23
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 3869.972959 | endTime: 4503.598918 | elapsedTime: 633.6259589999995 | urlCount: 22
INDEXER | LATENCY | node: 0e5f3 | startTime: 3869.972959 | endTime: 4503.598918 | elapsedTime: 633.6259589999995 | urlCount: 22
starting round: 3
CRAWLER | THROUGHPUT | node: 69d79 | startTime: 5785.098085 | endTime: 14766.643381 | elapsedTime: 8981.545296 | urlCount: 384
CRAWLER | LATENCY | node: 69d79 | startTime: 5785.098085 | endTime: 14766.643381 | elapsedTime: 8981.545296 | urlCount: 384
CRAWLER | THROUGHPUT | node: fa3de | startTime: 6212.698377 | endTime: 15308.163298 | elapsedTime: 9095.464920999999 | urlCount: 403
CRAWLER | LATENCY | node: fa3de | startTime: 6212.698377 | endTime: 15308.163298 | elapsedTime: 9095.464920999999 | urlCount: 403
CRAWLER | THROUGHPUT | node: c65b0 | startTime: 6362.809878 | endTime: 15474.773799 | elapsedTime: 9111.963921 | urlCount: 376
CRAWLER | LATENCY | node: c65b0 | startTime: 6362.809878 | endTime: 15474.773799 | elapsedTime: 9111.963921 | urlCount: 376
CRAWLER | THROUGHPUT | node: 0e5f3 | startTime: 5922.919252 | endTime: 16518.744382 | elapsedTime: 10595.825130000001 | urlCount: 358
CRAWLER | LATENCY | node: 0e5f3 | startTime: 5922.919252 | endTime: 16518.744382 | elapsedTime: 10595.825130000001 | urlCount: 358
CRAWLER | THROUGHPUT | node: 7ff68 | startTime: 6064.362294 | endTime: 16663.670633 | elapsedTime: 10599.308339000003 | urlCount: 355
CRAWLER | LATENCY | node: 7ff68 | startTime: 6064.362294 | endTime: 16663.670633 | elapsedTime: 10599.308339000003 | urlCount: 355
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 22149.15601 | endTime: 32769.593723 | elapsedTime: 10620.437713 | urlCount: 284
INDEXER | LATENCY | node: 0e5f3 | startTime: 22149.15601 | endTime: 32769.593723 | elapsedTime: 10620.437713 | urlCount: 284
INDEXER | THROUGHPUT | node: 7ff68 | startTime: 22290.494927 | endTime: 32911.839182 | elapsedTime: 10621.344255000004 | urlCount: 272
INDEXER | LATENCY | node: 7ff68 | startTime: 22290.494927 | endTime: 32911.839182 | elapsedTime: 10621.344255000004 | urlCount: 272
INDEXER | THROUGHPUT | node: c65b0 | startTime: 22589.224386 | endTime: 33212.446265 | elapsedTime: 10623.221878999997 | urlCount: 279
INDEXER | LATENCY | node: c65b0 | startTime: 22589.224386 | endTime: 33212.446265 | elapsedTime: 10623.221878999997 | urlCount: 279
INDEXER | THROUGHPUT | node: 69d79 | startTime: 22011.501552 | endTime: 32667.33114 | elapsedTime: 10655.829587999997 | urlCount: 265
INDEXER | LATENCY | node: 69d79 | startTime: 22011.501552 | endTime: 32667.33114 | elapsedTime: 10655.829587999997 | urlCount: 265
INDEXER | THROUGHPUT | node: fa3de | startTime: 22439.036719 | endTime: 33101.274098 | elapsedTime: 10662.237379000002 | urlCount: 306
INDEXER | LATENCY | node: fa3de | startTime: 22439.036719 | endTime: 33101.274098 | elapsedTime: 10662.237379000002 | urlCount: 306
starting round: 4
CRAWLER | THROUGHPUT | node: 7ff68 | startTime: 38433.121518 | endTime: 54262.950567 | elapsedTime: 15829.829049 | urlCount: 644
CRAWLER | LATENCY | node: 7ff68 | startTime: 38433.121518 | endTime: 54262.950567 | elapsedTime: 15829.829049 | urlCount: 644
CRAWLER | THROUGHPUT | node: c65b0 | startTime: 38731.76281 | endTime: 54878.712817 | elapsedTime: 16146.950007 | urlCount: 669
CRAWLER | LATENCY | node: c65b0 | startTime: 38731.76281 | endTime: 54878.712817 | elapsedTime: 16146.950007 | urlCount: 669
